Season,Episode,Dialog
6.6,Lock and Key,dying anyway
6.6,Lock and Key,clap clap
6.6,Lock and Key,trying say
6.6,Lock and Key,sign half fucking camden town part deal
6.6,Lock and Key,saying going die bed
6.6,Lock and Key,good people die bed tommy good people
6.6,Lock and Key,mmm
6.6,Lock and Key,tommy express profound emotion might better served expressing someone gives fuck perhaps somebody paid pretend
6.6,Lock and Key,like fucking nurse priest someone
6.6,Lock and Key,death speaking someone dead number years heartily recommend
